2004-01,17
2004-02,15
2004-03,16
2004-04,15
2004-05,15
2004-06,16
2004-07,17
2004-08,18
2004-09,18
2004-10,18
2004-11,17
2004-12,19
2005-01,24
2005-02,22
2005-03,20
2005-04,19
2005-05,19
2005-06,21
2005-07,19
2005-08,21
2005-09,25
2005-10,24
2005-11,23
2005-12,26
2006-01,25
2006-02,20
2006-03,20
2006-04,20
2006-05,20
2006-06,19
2006-07,20
2006-08,24
2006-09,26
2006-10,24
2006-11,23
2006-12,26
2007-01,29
2007-02,24
2007-03,23
2007-04,22
2007-05,21
2007-06,25
2007-07,24
2007-08,25
2007-09,32
2007-10,28
2007-11,30
2007-12,32
2008-01,32
2008-02,29
2008-03,27
2008-04,24
2008-05,25
2008-06,27
2008-07,30
2008-08,28
2008-09,30
2008-10,28
2008-11,27
2008-12,30
2009-01,27
2009-02,25
2009-03,27
2009-04,22
2009-05,23
2009-06,32
2009-07,25
2009-08,26
2009-09,28
2009-10,29
2009-11,29
2009-12,30
2010-01,32
2010-02,25
2010-03,23
2010-04,30
2010-05,27
2010-06,36
2010-07,33
2010-08,32
2010-09,35
2010-10,32
2010-11,38
2010-12,35
2011-01,33
2011-02,30
2011-03,36
2011-04,33
2011-05,32
2011-06,34
2011-07,36
2011-08,35
2011-09,34
2011-10,65
2011-11,41
2011-12,44
2012-01,37
2012-02,32
2012-03,44
2012-04,34
2012-05,31
2012-06,36
2012-07,34
2012-08,37
2012-09,63
2012-10,46
2012-11,45
2012-12,45
2013-01,37
2013-02,33
2013-03,30
2013-04,30
2013-05,29
2013-06,33
2013-07,31
2013-08,31
2013-09,51
2013-10,38
2013-11,39
2013-12,37
2014-01,32
2014-02,29
2014-03,29
2014-04,28
2014-05,27
2014-06,28
2014-07,28
2014-08,29
2014-09,54
2014-10,40
2014-11,35
2014-12,35
2015-01,30
2015-02,31
2015-03,32
2015-04,30
2015-05,27
2015-06,29
2015-07,30
2015-08,30
2015-09,43
2015-10,33
2015-11,33
2015-12,34
2016-01,29
2016-02,28
2016-03,30
2016-04,28
2016-05,27
2016-06,27
2016-07,27
2016-08,28
2016-09,44
2016-10,35
2016-11,41
2016-12,44
2017-01,37
2017-02,36
2017-03,36
2017-04,35
2017-05,33
2017-06,37
2017-07,37
2017-08,36
2017-09,49
2017-10,40
2017-11,43
2017-12,42
2018-01,38
2018-02,36
2018-03,37
2018-04,35
2018-05,36
2018-06,35
2018-07,35
2018-08,38
2018-09,51
2018-10,31
2018-11,43
2018-12,47
2019-01,42
2019-02,36
2019-03,38
2019-04,34
2019-05,35
2019-06,39
2019-07,36
2019-08,42
2019-09,100
2019-10,43
2019-11,47
2019-12,49
2020-01,42
2020-02,37
2020-03,36
2020-04,40
2020-05,41
2020-06,41
2020-07,41
2020-08,42
2020-09,50
2020-10,47
2020-11,46
2020-12,46
2021-01,40
2021-02,32
2021-03,29
2021-04,29
2021-05,27
2021-06,28
2021-07,28
2021-08,28
2021-09,36
2021-10,37
2021-11,39
2021-12,39
2022-01,40
2022-02,35
2022-03,34
2022-04,36
2022-05,35
2022-06,34
2022-07,36
2022-08,37
2022-09,46
2022-10,38
2022-11,39
2022-12,37
2023-01,37
2023-02,35
2023-03,28
2023-04,29
2023-05,29
2023-06,32
2023-07,44
2023-08,45
2023-09,57
2023-10,48
2023-11,49
2023-12,52
2024-01,47
2024-02,50
2024-03,47
2024-04,43
2024-05,46
2024-06,48
2024-07,45
2024-08,49
2024-09,61
2024-10,52
2024-11,55
2024-12,59
2025-01,54
2025-02,52
